X,Y,GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1
-17.4467,14.6928,SEN.1_1,SEN,Senegal,Dakar,,NA,Région,Region,,SN.DK,SN-DK
-14.8527,14.3514,SEN.2_1,SEN,Senegal,Diourbel,,NA,Région,Region,,SN.DB,SN-DB
-16.4115,13.9847,SEN.3_1,SEN,Senegal,Fatick,,NA,Région,Region,,SN.FK,SN-FK
-15.5536,14.1059,SEN.4_1,SEN,Senegal,Kaffrine,,NA,Région,Region,,SN.KA,SN-KA
-16.0758,14.1520,SEN.5_1,SEN,Senegal,Kaolack,,NA,Région,Region,,SN.KL,SN-KL
-12.1810,12.5633,SEN.6_1,SEN,Senegal,Kédougou,Kedougou,NA,Région,Region,,SN.KE,SN-KE
-14.9712,13.6820,SEN.7_1,SEN,Senegal,Kolda,,NA,Région,Region,,SN.KD,SN-KD
-15.9500,15.4500,SEN.8_1,SEN,Senegal,Louga,,NA,Région,Region,,SN.LG,SN-LG
-13.6700,15.6167,SEN.9_1,SEN,Senegal,Matam,,NA,Région,Region,,SN.MT,SN-MT
-16.1735,15.8794,SEN.10_1,SEN,Senegal,Saint-Louis,Saint Louis,NA,Région,Region,,SN.SL,SN-SL
-12.2812,12.8809,SEN.11_1,SEN,Senegal,Sédhiou,Sedhiou,NA,Région,Region,,SN.SE,SN-SE
-11.3556,12.8372,SEN.12_1,SEN,Senegal,Tambacounda,,NA,Région,Region,,SN.TC,SN-TC
-16.9260,14.7910,SEN.13_1,SEN,Senegal,Thiès,Thies,NA,Région,Region,,SN.TH,SN-TH
-16.2719,12.5605,SEN.14_1,SEN,Senegal,Ziguinchor,,NA,Région,Region,,SN.ZG,SN-ZG
